"p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Gm8730",7.80337534385428e-18,-1.26151492259191,0.393,0.852,3.95240961166219e-14
"Atp5l",7.83222610610449e-18,-0.952546034351929,0.554,0.933,3.96702252274193e-14
"Gm10250",9.04698607250966e-18,-1.18787917619017,0.161,0.787,4.58229844572614e-14
"Rpl22",9.92999984474922e-18,-1.09412994317725,0.464,0.898,5.02954492136548e-14
"Uqcrh",1.00167126967721e-17,-0.967937847711484,0.536,0.938,5.07346498091505e-14
"Gm9843",1.43762917077358e-17,-1.00038104127244,0.411,0.891,7.28159174996817e-14
"Mdh2",1.77390947809157e-17,-1.19635815148219,0.464,0.903,8.98485150653383e-14
"Rpl30",1.99157873183994e-17,-1.04795053594709,0.5,0.891,1.00873462767693e-13
"Atp5j",2.00142597919772e-17,-0.883952915836678,0.661,0.938,1.01372225846365e-13
"Rack1",2.22192458127403e-17,-1.05613153650282,0.536,0.902,1.1254048004153e-13
"Uqcr10",2.93503421605076e-17,-0.852139226577052,0.607,0.933,1.48659483042971e-13
"Tpi1",3.38827909620784e-17,-1.24305271890792,0.304,0.807,1.71616336222927e-13
"Rps10",3.61718025212459e-17,-0.969477800782875,0.643,0.934,1.83210179770111e-13
"Cldn7",3.82133370704471e-17,-0.95046032628089,0.607,0.945,1.93550552261814e-13
"Agr2",3.91307644602515e-17,0.705069019106881,0.893,0.682,1.98197321991174e-13
"Naca",3.9373372775939e-17,-0.966055336174871,0.696,0.928,1.99426133110131e-13
"Eef2",4.49443186767396e-17,-0.981044059678359,0.554,0.923,2.27642974097686e-13
"Gm2000",9.46638828651786e-17,-1.18885215228891,0.214,0.774,4.7947256671213e-13
"Krt19",1.0298037318833e-16,-1.22164352386964,0.679,0.945,5.21595590198892e-13
"Atp5j2",1.19172012736299e-16,-0.826302163534671,0.643,0.95,6.03606244509355e-13
"Ndufa13",1.31511397158573e-16,-1.1132695841665,0.357,0.88,6.66105226608172e-13
"Tomm7",1.32439418049929e-16,-1.1598158486888,0.196,0.766,6.70805652422893e-13
"Rps25",2.59697602759544e-16,-0.902805324665325,0.661,0.933,1.31536835797709e-12
"Hmgb1",2.88848443504624e-16,-1.20356471368282,0.393,0.844,1.46301736635092e-12
"Ndufb9",3.07632511398868e-16,-1.05165963358157,0.429,0.899,1.55815867023527e-12
"Ndufa4",3.75520840930951e-16,-0.866078293193185,0.625,0.93,1.90201305931527e-12
"Hint1",3.75668304071488e-16,-0.838317222814378,0.589,0.921,1.90275996012208e-12
"Txn1",5.32070276384456e-16,-0.833390224040464,0.75,0.966,2.69493594988727e-12
"H3f3a",6.78265953829563e-16,-1.06412077154383,0.5,0.861,3.43541705614673e-12
"Prdx6",8.01673012606506e-16,-1.25849202231568,0.25,0.767,4.06047380885195e-12
"Guca2a",8.22372533758284e-16,0.782972094685986,0.821,0.433,4.16531688348571e-12
"Oaz1",1.12279990436256e-15,-0.886509971429229,0.571,0.92,5.68698151559635e-12
"Ybx1",1.27056059260874e-15,-1.00073992981972,0.607,0.888,6.43538940156329e-12
"Atp5c1",1.31296153053482e-15,-0.946736490145409,0.536,0.892,6.65015015215887e-12
"Myl6",1.64588205918131e-15,-0.879185798133467,0.571,0.943,8.33639262975336e-12
"Rps21",1.92623958827506e-15,-0.936470143584255,0.464,0.892,9.75640351461319e-12
"Elob",2.11939936528348e-15,-0.956107178803829,0.393,0.871,1.07347577851608e-11
"Hn1",2.26228059978521e-15,-1.0587975986288,0.321,0.835,1.14584512379121e-11
"Uqcr11",2.26615035878755e-15,-0.82581321700896,0.607,0.94,1.1478051567259e-11
"Gm15013",2.33546525635938e-15,-1.16392725194679,0.179,0.754,1.18291315234603e-11
"Rpl5",3.19412530448989e-15,-0.812559176596361,0.607,0.939,1.61782446672413e-11
"Npm1",3.22181386651796e-15,-1.30259706580938,0.304,0.804,1.63184872339135e-11
"Atp5k",3.72286011683183e-15,-1.02259393222978,0.25,0.823,1.88562864917532e-11
"Uqcrq",5.82520219060055e-15,-0.827380134612466,0.589,0.936,2.95046490953918e-11
"Psme2",6.4521179794594e-15,-1.04813408061575,0.393,0.844,3.26799775659619e-11
"Gsto1",8.44734267376896e-15,-1.13086937499449,0.304,0.816,4.27857906426398e-11
"Ndufb11",8.98244047369838e-15,-1.05157384978767,0.339,0.811,4.54960609992823e-11
"Mgst3",1.43133244522167e-14,-1.24357747147016,0.429,0.857,7.24969883504777e-11
"Eif3f",1.4854535177921e-14,-1.09811180019725,0.393,0.812,7.52382206761698e-11
"Tma7",1.66067734789962e-14,-1.02418088941877,0.357,0.854,8.41133076711159e-11
"Pycard",1.95020631713204e-14,-1.03557294954709,0.607,0.905,9.87779499627376e-11
"Wdr89",1.98300304203684e-14,-0.934739548956887,0.393,0.858,1.00439104079166e-10
"Rps26-ps1",2.36543099320496e-14,-1.0594806354703,0.089,0.671,1.19809079805831e-10
"Ran",2.61762478856439e-14,-1.12963006565774,0.429,0.816,1.32582695540786e-10
"Psmb3",3.08649038912422e-14,-1.01781255280428,0.25,0.785,1.56330738209142e-10
"Cldn3",3.11558768492594e-14,-1.00557625021335,0.5,0.878,1.57804516241499e-10
"Psme2b",5.32221692325532e-14,-1.01092763453102,0.018,0.59,2.69570287162882e-10
"Snrpg",6.30352982182953e-14,-1.07074051739981,0.286,0.776,3.19273785475666e-10
"Cox7a2l",8.76519258553986e-14,-1.14688582652556,0.321,0.761,4.43957004457594e-10
"Oat",9.32420449971281e-14,-0.986686884684941,0.554,0.89,4.72270957910454e-10
"Gnb2",9.39155864422974e-14,-1.01788177361063,0.339,0.805,4.75682445330237e-10
"Atp5f1",9.41666585944967e-14,-0.860375097897683,0.571,0.878,4.76954125781126e-10
"Ndufa5",9.48767478928288e-14,-1.03546022205368,0.268,0.77,4.80550728077178e-10
"Smim24",1.21538336906163e-13,-1.44527627483434,0.393,0.827,6.15591676429716e-10
"Guca2b",2.36777143448997e-13,0.656585781933527,0.75,0.377,1.19927623156917e-09
"Ndufa2",2.60804068000517e-13,-0.892875565642216,0.375,0.852,1.32097260442262e-09
"Hspe1",3.45377227710253e-13,-0.853226115862576,0.625,0.915,1.74933565835243e-09
"Actb",3.64316089819137e-13,-0.966498600254034,0.464,0.883,1.84526099493393e-09
"Chchd10",4.0143006390435e-13,-0.938210005262733,0.446,0.852,2.03324327367553e-09
"Mrpl12",4.0251423568817e-13,-1.00414467116821,0.286,0.779,2.03873460376058e-09
"Prdx2",4.27730870292819e-13,-0.95046492456284,0.393,0.81,2.16645685803313e-09
"U2af1",4.30511982724894e-13,-1.02303369323694,0.143,0.677,2.18054319250159e-09
"Rnaset2b",4.38223984411587e-13,-0.961516608906191,0.107,0.656,2.21960448104469e-09
"Psmb6",4.43451914760121e-13,-0.98381223502178,0.286,0.782,2.24608394826001e-09
"Cycs",4.78911248794849e-13,-0.923402978351954,0.482,0.866,2.42568547514591e-09
"Uqcrc2",5.3481922273405e-13,-1.02192170830468,0.268,0.771,2.70885936314796e-09
"Rps15a",5.9735162593892e-13,-0.781973130150339,0.679,0.919,3.02558598538063e-09
"Phb2",6.28415268279506e-13,-0.984202942361272,0.321,0.8,3.1829233338357e-09
"Myl12b",6.31266917961342e-13,-1.06173464634316,0.232,0.711,3.1973669394742e-09
"Ndufv2",6.93950822716026e-13,-1.00052001630958,0.286,0.761,3.51486091705667e-09
"Uqcrc1",7.02970693020508e-13,-0.920456007439776,0.482,0.857,3.56054656014887e-09
"Ndufb5",7.12500745119704e-13,-0.971369414831427,0.357,0.789,3.6088162740313e-09
"Ndufs2",7.76513186343229e-13,-0.96115997501184,0.304,0.8,3.93303928882845e-09
"Sdhb",8.28604393394824e-13,-0.957321035907002,0.375,0.83,4.19688125254478e-09
"Psmb5",9.64626845946379e-13,-0.816257465278295,0.196,0.733,4.88583497471841e-09
"Eif3h",1.01330083757728e-12,-1.02564401430689,0.286,0.743,5.1323687423289e-09
"Prap1",1.30793872340684e-12,-1.21034698645604,0.518,0.879,6.62470963405562e-09
"Cd74",1.39225190135255e-12,-1.25876811525105,0.589,0.873,7.05175588035065e-09
"Ndufa8",1.59127924936296e-12,-0.956997475427404,0.339,0.787,8.05982939802339e-09
"Sh3bgrl3",1.70108996415127e-12,-1.23453039697403,0.161,0.675,8.61602066842619e-09
