"p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Mrto4",6.75626030011012e-22,0.256425762947114,0.536,0.241,3.42204584200578e-18
"C1qbp",7.41003354038569e-22,0.341880764259827,0.906,0.626,3.75318198820535e-18
"Tsfm",7.6436411734233e-22,0.314700575055994,0.733,0.411,3.8715042543389e-18
"Rad21",8.55224881751937e-22,0.291214635421883,0.448,0.183,4.33171402607356e-18
"Nasp",9.58313638394816e-22,0.291163474966805,0.591,0.277,4.85385857846974e-18
"Plp2",1.38744123004595e-21,0.322134418456711,0.676,0.365,7.02738983018274e-18
"Ezh2",1.44094934040029e-21,0.253028661961534,0.379,0.138,7.29840840912745e-18
"Mrpl15",1.58447738471159e-21,0.347346599326641,0.8,0.487,8.02537795356421e-18
"Kcnn4",1.71123285523387e-21,0.339223235976657,0.627,0.307,8.66739441175955e-18
"Lig1",1.94200552611369e-21,0.355456709577519,0.427,0.172,9.83625798976583e-18
"Arl6ip1",3.52421320109852e-21,0.441090912761641,0.661,0.376,1.7850139863564e-17
"Nelfe",3.8235473877977e-21,0.291561066102687,0.418,0.166,1.93662675191954e-17
"Rpa2",4.36381072741526e-21,0.265874621003301,0.427,0.171,2.21027013343583e-17
"Nudcd2",4.56742138279721e-21,0.332361882176359,0.591,0.298,2.31339893038679e-17
"Aars",4.98915537813256e-21,0.286873546051642,0.639,0.338,2.52700719902414e-17
"Rcc1",6.51734099727526e-21,0.256282121708119,0.318,0.106,3.30103321511992e-17
"Uchl5",7.48999149217335e-21,0.259261425854345,0.491,0.214,3.7936806907858e-17
"Emg1",7.90989568712417e-21,0.304753350959013,0.882,0.592,4.00636216552839e-17
"Dctpp1",9.64545636971126e-21,0.289016702592388,0.773,0.467,4.88542365125875e-17
"Mrpl40",9.74048792815755e-21,0.282241105328089,0.636,0.317,4.9335571356118e-17
"Pcna",1.25845490622635e-20,0.35656021613848,0.536,0.265,6.37407410003644e-17
"Gar1",1.79059128119913e-20,0.289829166838772,0.633,0.332,9.06934483927359e-17
"Klf5",3.76374124559702e-20,0.354387814320212,0.661,0.371,1.90633494089489e-16
"Mrpl28",3.91771395666560e-20,0.308654393915285,0.842,0.538,1.98432211905112e-16
"Dmbt1",4.12418676280315e-20,0.316944201202911,0.876,0.608,2.0889005953598e-16
"Snrpb",6.16905752205617e-20,0.312767082739249,0.9,0.671,3.12462763492145e-16
"Gins2",7.73545886143796e-20,0.270873891438262,0.376,0.146,3.91800991331833e-16
"Anapc11",9.40820024463127e-20,0.279905722370498,0.664,0.362,4.76525342390574e-16
"A430005L14Rik",9.81881449502116e-20,0.280388904010943,0.53,0.246,4.97322954172822e-16
"Timm50",1.07870092643131e-19,0.304903179863574,0.645,0.337,5.46362019237457e-16
"Tomm40",1.11962824019787e-19,0.345791001769596,0.773,0.488,5.67091703660221e-16
"Fam136a",1.92851105207787e-19,0.352711154899293,0.645,0.354,9.76790847877439e-16
"Sfn",4.63022151531728e-19,0.283111296507778,0.745,0.458,2.3452071975082e-15
"Mcm7",5.41711456237263e-19,0.298008685456112,0.524,0.251,2.74376852584174e-15
"Ywhah",6.94192563091481e-19,0.307582682014006,0.827,0.529,3.51608533205835e-15
"Nudt21",7.29389985335019e-19,0.27794690751225,0.73,0.419,3.69436027572187e-15
"Nudc",1.58894649225032e-18,0.280341442771842,0.794,0.479,8.04801398324785e-15
"Cenpx",1.6757310761698e-18,0.291557875105235,0.806,0.498,8.48757790080002e-15
"Pfdn6",2.33432379529064e-18,0.293704197400039,0.776,0.482,1.18233500231471e-14
"Hmgn1",2.65313873238124e-18,0.336980121279798,0.8,0.511,1.3438147679511e-14
"Rhno1",2.71892257403138e-18,0.255254794694536,0.345,0.132,1.37713428374689e-14
"Imp4",3.1685856906742e-18,0.2606126310811,0.542,0.269,1.60488865232648e-14
"Raly",3.21092783534233e-18,0.276371967436557,0.803,0.491,1.62633494860089e-14
"Mif",3.58053353816112e-18,0.300303739699293,0.918,0.654,1.81354023707861e-14
"Mrpl35",3.64048877713068e-18,0.276175909019973,0.676,0.378,1.84390756561669e-14
"Eif1ad",3.7211124945912e-18,0.272856725590402,0.445,0.201,1.88474347851044e-14
"Bcas2",4.06771092883569e-18,0.250869591404432,0.797,0.465,2.06029558545528e-14
"Snu13",6.46132312296084e-18,0.289368636786035,0.803,0.495,3.27266016177967e-14
"Orc6",7.1150804146758e-18,0.25310996008902,0.348,0.137,3.60378823003329e-14
"Bccip",7.11597894788087e-18,0.267453739235102,0.673,0.365,3.60424333710166e-14
"Chchd1",7.19608346542369e-18,0.293293708374123,0.824,0.526,3.6448162752371e-14
"Rbbp7",7.6690909770667e-18,0.310151637537003,0.664,0.386,3.88439457988428e-14
"Rnaseh2c",8.04596173713281e-18,0.256171598726877,0.764,0.455,4.07527961985777e-14
"Gm8186",8.48695473399206e-18,0.260909866070354,0.648,0.353,4.29864257276698e-14
"Rbmxl1",1.1064239924352e-17,0.318498732343753,0.576,0.308,5.60403752168428e-14
"Mrpl12",1.11314737429386e-17,0.271770373361438,0.93,0.721,5.63809145079839e-14
"Naa20",1.53413360429958e-17,0.280839744433598,0.603,0.323,7.77038670577738e-14
"Fbl",1.74052800239819e-17,0.265927255944171,0.821,0.514,8.81577433214683e-14
